type,title,id,abstract
CompositeResource,RAPID Result,c1f2679252c54d92bf54fc71eb1e03f4,"Results of RAPID river routing simulation. Each river reach (i.e., feature) is represented by a point feature at its midpoint, and is identified by the reach's unique NHDPlus COMID identifier."
CompositeResource,Flow basins for the Brazilian rainforest-savanna transition zone,24df52d96565425ab49f4907b1430380,"These data are the river basin shapefile components of a curated set of historical daily rainfall and streamflow data for a large region spanning the southern Amazonian rainforest and tropical savanna biomes of Brazil.

Basin attributes include: a site ID (""site""); the basin area in square km (""area""); the fraction of the basin area impacted by (draining to) a large (>30MW) reservoir (""resvr""); and a numeric indicator for basins located within the same basin network, i.e. nested basins (""group""). None of these basins have reservoir facilities located at their outlets as of 2013, although they may have reservoirs upstream - as indicated by the basin ""resvr"" attribute. Basin and reservoir drainage area boundaries were derived from free, publicly-available geographic information systems (GIS) data obtained from the Brazilian water management and electricity regulatory agencies: Agência Nacional de Águas (ANA) and Agência Nacional de Energia Elétrica (ANEEL), respectively.

For each unique basin, there exists a corresponding flow gauge location record (see ""Flow gauge locations for the Brazilian rainforest-savanna transition zone"") and a flow time series record for discharge at the basin outlet (see ""Flow gauge data for the Brazilian rainforest-savanna transition zone""); these are identified by the same site ID numbers.

Additional data package information and contents, including raw data files, documentation of data acquisition and processing, and related programmatic scripts, are available via Figshare: https://doi.org/10.6084/m9.figshare.3100912.v1"
RefTimeSeriesResource,MOPEX Gage 07177500 Daily Streamflow,34eb01dc721f4aa6b2fb3fb63b0e991e,Daily streamflow from 1948-2003 for USGS Gage: 07177500. Taken from MOPEX: ftp://hydrology.nws.noaa.gov/pub/gcip/mopex/US_Data/ 
CompositeResource,Flow gauge locations for the Brazilian rainforest-savanna transition zone,f91b337084e74488a207f2b03bb15226,"These data are the flow gauge location components of a curated set of historical daily rainfall and streamflow data for a large region spanning the southern Amazonian rainforest and tropical savanna biomes of Brazil.

Flow gauge location attributes include: a site ID (""site""); the state within which the flow gauge is located (""state""); and the elevation in m above sea level (""elevation""). Flow gauge locations were obtained from free, publicly-available historical records from the Brazilian water management agency: Agência Nacional de Águas (ANA). Elevation data was obtained from SRTM 90m Digital Elevation Database v4.1.

For each unique site, there exists a corresponding time series record (see ""Flow gauge data for the Brazilian rainforest-savanna transition zone"") as well as a drainage basin or catchment boundary (see ""Flow basins for the Brazilian rainforest-savanna transition zone""); these are identified by the same site ID numbers.

Additional data package information and contents, including raw data files, documentation of data acquisition and processing, and related programmatic scripts, are available via Figshare: https://doi.org/10.6084/m9.figshare.3100912.v1"
RefTimeSeriesResource,MOPEX Gage 01055500 Daily Streamflow,cd7225412cd648b4aa5d1624e2465bd1,"Daily streamflow from 1948-2003 for USGS Gage: 01055500. Taken from MOPEX: ftp://hydrology.nws.noaa.gov/pub/gcip/mopex/US_Data/ 
"
RefTimeSeriesResource,MOPEX Gage 01064500 Daily Streamflow,ec1621ce89034343b35e91b534aa8017,Daily streamflow from 1948 to 2003 for USGS Gage: 01064500. Taken from MOPEX: ftp://hydrology.nws.noaa.gov/pub/gcip/mopex/US_Data/ 
RefTimeSeriesResource,MOPEX Gage 01060000 Daily Streamflow,0468e03953444ca094c7087897455301,Daily streamflow for USGS Gage: 0106000. Taken from MOPEX: ftp://hydrology.nws.noaa.gov/pub/gcip/mopex/US_Data/ 
RefTimeSeriesResource,MOPEX Gage 01076500 Daily Streamflow,c05dd6d313c243d7bf0ecec23d7282de,Daily streamflow from 1948-2003  for USGS Gage: 01076500. Taken from MOPEX: ftp://hydrology.nws.noaa.gov/pub/gcip/mopex/US_Data/ 
CompositeResource,Flow gauge data for the Brazilian rainforest-savanna transition zone,c920825adda84e50ae160e0745f10524,"These data are the flow gauge time series components of a curated set of historical daily rainfall and streamflow data for a large region spanning the southern Amazonian rainforest and tropical savanna biomes of Brazil.

Data (columns) include: the year, month, and day (""year"", ""month"", ""day"") of observations; the daily mean volumetric flow rate in cubic m/second (""value""); a site ID (""site""); and the state within which the flow gauge is located (""state""). Missing values are set to -9999. For each unique site, there exists a corresponding flow gauge location record (see ""Flow gauge locations for the Brazilian rainforest-savanna transition zone"") as well as a drainage basin or catchment boundary (see ""Flow basins for the Brazilian rainforest-savanna transition zone""); these are identified by the same site ID numbers.

Flow data were obtained from free, publicly-available historical records from the Brazilian water management agency: Agência Nacional de Águas (ANA).

Additional data package information and contents, including raw data files, documentation of data acquisition and processing, and related programmatic scripts, are available via Figshare: https://doi.org/10.6084/m9.figshare.3100912.v1"
CollectionResource,Curated rain and flow data for the Brazilian rainforest-savanna transition zone,e82e66572b444fc5b6bf16f88f911f77,"This data package provides a curated set of long-term, historical daily rainfall and streamflow data for a large region spanning the southern Amazonian rainforest and tropical savanna biomes of Brazil. The curated data set was derived from free, publicly-available rainfall, streamflow, and associated geographic information systems (GIS) data obtained from the Brazilian water management and electricity regulatory agencies: Agência Nacional de Águas (ANA) and Agência Nacional de Energia Elétrica (ANEEL), respectively. 

This curated data collection provides analysis-ready, quality-controlled (i) rainfall and streamflow time series data, (ii) corresponding rainfall and streamflow gauge locations, and (iii) stream catchment boundary GIS data.

Additional data package information and contents, including raw data files, documentation of data acquisition and processing, and related programmatic scripts, are available via Figshare: https://doi.org/10.6084/m9.figshare.3100912.v1"
CompositeResource,"Red Butte Creek discharge, temperature, and conductivity dataset",23240f0a7f8a49c48d43ba16675ddfee,"This dataset contains discharge, temperature, and conductivity observations collected longitudinally along Red Butte Creek. Data was collected at approximately 38 sites intermittently dispersed from the Foothill Drive Aquatic Station to the Knowltons Fork Aquatic Station, including tributaries. Periodic data collection began in June of 2014 and continued through the summer of 2015. Measurements were made at each of the sites to capture pre/post snowmelt, summer (high ET) and fall (low ET) conditions. Discharge was measured either using a SonTek Flow Tracker (velocity-area method) or a dilution gaging method (using the YSI 600 OMS and a salt tracer). Temperature and conductivity were measured at each discharge site using the YSI 600 OMS. GPS coordinates for each discharge site were recorded using a Garmin® GPSMAP 64. The purpose for these measurements is to determine areas of significant groundwater-surface water interaction. "
CompositeResource,"Logan River discharge, temperature, conductivity, and chemistry datasets",a0e10d4ab642439db08a322f7f2acde7,"This dataset contains discharge, temperature,  conductivity, and ion concentration observations collected longitudinally along the Logan River. Data was collected at approximately 38 sites intermittently dispersed from the Mendon Road Aquatic Station to the Tony Grove Aquatic Station, including tributaries. Periodic data collection began in June of 2014 and continued through the summer of 2018. Measurements were made at each of the sites to capture pre/post snowmelt, summer (high ET), fall (low ET), and winter (Low ET) conditions. Discharge was measured using a SonTek Flow Tracker (velocity-area method). Temperature and conductivity were measured at each discharge site using the YSI 600 OMS. Ion samples were immediately filtered using either 0.7 um Whatman GF/F or 0.45 um Whatman Nylon Filters into acid-washed LDPE bottles and frozen (Chloride, Sulfate, Phosphate, Nitrate, Fluoride) or acidified with nitric acid (Sodium, Magnesium, Calcium, Potassium, Ammonium). All samples were transported via cooler to the lab where they were frozen until analysis. Samples were measured by ion chromatography on a Metrohm Compact IC. Standard curves were calibrated using independent NIST-traceable standards, and standards were run as unknowns to check analytical precision. GPS coordinates for each discharge site were recorded using a Garmin® GPSMAP 64. The purpose for these measurements is to determine areas of significant groundwater-surface water interaction."
CompositeResource,"Provo River discharge, temperature, and conductivity dataset",e7575d7ba1ca4c42b6bfeaf6d84b39e5,"This dataset contains discharge, temperature, and conductivity observations collected longitudinally along middle section of the Prove River. Data was collected at approximately 23 sites intermittently dispersed from the Charleston Aquatic Station to the USGS gaging station just below Jordanelle Dam, including tributaries. Periodic data collection began in June of 2014 and continued through August 2014. Measurements were made at each of the sites to capture pre/post snowmelt, summer (high ET) and fall (low ET) conditions. Discharge was measured using a SonTek Flow Tracker (velocity-area method). Temperature and conductivity were measured at each discharge site using the YSI 600 OMS. GPS coordinates for each discharge site were recorded using a Garmin® GPSMAP 64. The purpose for these measurements is to determine areas of significant groundwater-surface water interaction. "
CompositeResource,Wasatch Environmental Observatory Red Butte Network: Discharge Rating Curve at Red Butte Gate Basic Aquatic Site (RB_RBG_BA),b66918eebb42426aa795351333ff6423,"This dataset contains a stage-discharge relationship developed for the iUTAH GAMUT Network aquatic site on Red Butte Creek near Red Butte Gate Basic Aquatic Site (RB_RBG_BA). Discharge measurements were collected by a SonTek FlowTracker. Measured stage and discharge and the curve are contained in the Rating Curve file. Information on the site conditions and any issues with discharge measurements are documented in the README file. Files associated with each measurement (e.g., output by the FlowTracker instrument) are contained in the .zip directory. This rating curve was used to generate discharge data through 12/31/2015. New versions of these files may be loaded when new flow measurements are taken. Resulting discharge data is published in the iUTAH GAMUT operational databases and may be accessed via http://data.iutahepscor.org/tsa. "
CompositeResource,Wasatch Environmental Observatory Red Butte Network:Rating Curve at Foothill Drive Advanced Aquatic (RB_FD_AA),cf8d84ef37964fa3a10f69ce4b9f9586,"This dataset contains a stage-discharge relationship developed for the Wasatch Environmental Observatory Red Butte Network aquatic site on Red Butte Creek near Foothill Drive Advanced Aquatic (RB_FD_AA). Discharge measurements were collected by a SonTek FlowTracker. Measured stage and discharge and the curve are contained in the Rating Curve file. Information on the site conditions and any issues with discharge measurements are documented in the README file. Files associated with each measurement (e.g., output by the FlowTracker instrument) are contained in the .zip directory. New versions of these files may be loaded when new flow measurements are taken. Calculated discharge for this site can be found here: https://www.hydroshare.org/resource/47244f7407e14529944fe38333fe7612/"
CompositeResource,Wasatch Environmental Observatory Red Butte Network: Rating Curve at Cottam's Grove Basic Aquatic (RB_CG_BA),c0a5a958e95e44b5846a7d8950be7bbd,"This dataset contains a stage-discharge relationship developed for the Wasatch Environmental Observatory Red Butte Network aquatic site on Red Butte Creek near Cottam’s Grove Basic Aquatic (RB_CG_BA). Discharge measurements were collected by a SonTek FlowTracker. Measured stage and discharge and the curve are contained in the Rating Curve file. Information on the site conditions and any issues with discharge measurements are documented in the README file. Files associated with each measurement (e.g., output by the FlowTracker instrument) are contained in the .zip directory. New versions of these files may be loaded when new flow measurements are taken. Calculated discharge for this site can be found here: https://www.hydroshare.org/resource/4659632bae8a440698b1c6b0f4d3558a/"
CompositeResource,Discharge Rating Curve at Provo River near Soapstone Basin Aquatic Site (PR_ST_BA),d14c319e607140bb83fe6b3b93302994,"This dataset contains a stage-discharge relationship developed for the iUTAH GAMUT Network aquatic site on Provo River near Soapstone Basin Aquatic Site (PR_ST_BA). Discharge measurements were collected by a HACH FH950 and Marsh McBirney Flo-Mate. Measured stage and discharge and the curve are contained in the Rating Curve file. Information on the site conditions and any issues with discharge measurements are documented in the README file. Files associated with each measurement (e.g., output by the FH950 instrument) are contained in the .zip directory. This rating curve was used to generate discharge data through 9/28/2016. New versions of these files may be loaded when new flow measurements are taken. Resulting discharge data is published in the iUTAH GAMUT operational databases and may be accessed via http://data.iutahepscor.org/tsa."
CompositeResource,Discharge Rating Curve at Logan River near Tony Grove Basic Aquatic Site (LR_TG_BA),56a50022bcb749498999a1d263b7d1b3,"This dataset contains a stage-discharge relationship developed for the aquatic site on Logan River near Tony Grove Basic Aquatic Site (LR_TG_BA). Discharge measurements were collected by a SonTek FlowTracker or Marsh McBirney FlowMate 2000. Measured stage and discharge and the curve are contained in the Rating Curve file. Information on the site conditions and any issues with discharge measurements are documented in the README file. Files associated with each measurement (e.g., output by the FlowTracker instrument) are contained in the .zip directory. This rating curve was used to generate discharge data through 6/30/2018. New versions of these files may be loaded when new flow measurements are taken. Resulting discharge data is published in the Logan River Observatory operational databases and may be accessed via http://lrodata.usu.edu/tsa/ and https://www.hydroshare.org/resource/b93121c191a94abbb288acabba07f954/."
